#Str nr   filename                   CCS_PA (SEM_rel)     CCS_TJM*      n_iter
CCS 30    output_atomistic/model.36_atomistic.pdb   12631.9834 ( 0.0033)   17275.2227      100864
CCS 31    output_atomistic/model.37_atomistic.pdb   12667.5342 ( 0.0033)   17326.3379      123904
CCS 32    output_atomistic/model.38_atomistic.pdb   12641.7236 ( 0.0033)   17289.2246      141824
CCS 33    output_atomistic/model.39_atomistic.pdb   12648.0156 ( 0.0033)   17298.2715      111104
CCS 34    output_atomistic/model.3_atomistic.pdb   12627.0273 ( 0.0033)   17268.0957      121344
CCS 35    output_atomistic/model.40_atomistic.pdb   12587.6143 ( 0.0033)   17211.4375      104960
CCS 36    output_atomistic/model.41_atomistic.pdb   12676.1768 ( 0.0033)   17338.7656       99328
CCS 37    output_atomistic/model.42_atomistic.pdb   12624.8828 ( 0.0033)   17265.0137       75264
CCS 38    output_atomistic/model.43_atomistic.pdb   12552.3574 ( 0.0033)   17160.7617      103424
CCS 39    output_atomistic/model.44_atomistic.pdb   12647.2910 ( 0.0033)   17297.2305       99328
CCS 40    output_atomistic/model.45_atomistic.pdb   12574.6650 ( 0.0033)   17192.8242       70656
CCS 41    output_atomistic/model.46_atomistic.pdb   12591.0801 ( 0.0033)   17216.4199      104448
CCS 42    output_atomistic/model.47_atomistic.pdb   12593.1855 ( 0.0033)   17219.4473      105984
CCS 43    output_atomistic/model.48_atomistic.pdb   12754.0078 ( 0.0033)   17450.7012      100864
CCS 44    output_atomistic/model.49_atomistic.pdb   12629.9902 ( 0.0033)   17272.3574      124928
CCS 45    output_atomistic/model.4_atomistic.pdb   12626.0898 ( 0.0033)   17266.7500      108544
CCS 46    output_atomistic/model.50_atomistic.pdb   12638.9053 ( 0.0033)   17285.1738      111616
CCS 47    output_atomistic/model.51_atomistic.pdb   12654.0723 ( 0.0033)   17306.9805      109056
CCS 48    output_atomistic/model.52_atomistic.pdb   12522.4658 ( 0.0033)   17117.8027      102400
CCS 49    output_atomistic/model.53_atomistic.pdb   12546.6904 ( 0.0033)   17152.6172       86016
CCS 50    output_atomistic/model.54_atomistic.pdb   12678.5078 ( 0.0033)   17342.1172       87552
CCS 51    output_atomistic/model.55_atomistic.pdb   12629.4121 ( 0.0033)   17271.5254      106496
CCS 52    output_atomistic/model.56_atomistic.pdb   12647.0967 ( 0.0033)   17296.9512      135168
CCS 53    output_atomistic/model.57_atomistic.pdb   12631.9355 ( 0.0033)   17275.1523       96256
CCS 54    output_atomistic/model.58_atomistic.pdb   12598.6689 ( 0.0033)   17227.3281      107008
CCS 55    output_atomistic/model.59_atomistic.pdb   12582.7754 ( 0.0033)   17204.4824       87552
CCS 56    output_atomistic/model.5_atomistic.pdb   12597.0498 ( 0.0033)   17225.0000       88064
CCS 57    output_atomistic/model.60_atomistic.pdb   12664.2148 ( 0.0033)   17321.5645       98304
CCS 58    output_atomistic/model.61_atomistic.pdb   12600.6553 ( 0.0033)   17230.1836       68608
CCS 59    output_atomistic/model.62_atomistic.pdb   12669.2539 ( 0.0033)   17328.8105       92160
CCS 60    output_atomistic/model.63_atomistic.pdb   12570.3877 ( 0.0033)   17186.6777      111616
CCS 61    output_atomistic/model.64_atomistic.pdb   12603.5156 ( 0.0032)   17234.2949      103936
CCS 62    output_atomistic/model.65_atomistic.pdb   12517.6055 ( 0.0033)   17110.8184       81920
CCS 63    output_atomistic/model.66_atomistic.pdb   12716.8428 ( 0.0033)   17397.2461       50176
CCS 64    output_atomistic/model.67_atomistic.pdb   12604.1113 ( 0.0032)   17235.1523       50688
CCS 65    output_atomistic/model.68_atomistic.pdb   12612.1523 ( 0.0033)   17246.7109       90624
CCS 66    output_atomistic/model.69_atomistic.pdb   12548.4688 ( 0.0033)   17155.1719       90112
CCS 67    output_atomistic/model.6_atomistic.pdb   12663.9463 ( 0.0033)   17321.1777      102400
CCS 68    output_atomistic/model.70_atomistic.pdb   12555.4883 ( 0.0033)   17165.2617      100864
CCS 69    output_atomistic/model.71_atomistic.pdb   12498.1680 ( 0.0033)   17082.8867      106496
CCS 70    output_atomistic/model.72_atomistic.pdb   12625.8779 ( 0.0033)   17266.4434       85504
CCS 71    output_atomistic/model.73_atomistic.pdb   12695.2598 ( 0.0033)   17366.2070       82432
CCS 72    output_atomistic/model.74_atomistic.pdb   12652.5596 ( 0.0033)   17304.8047      112640
CCS 73    output_atomistic/model.75_atomistic.pdb   12526.0068 ( 0.0032)   17122.8926       86528
CCS 74    output_atomistic/model.76_atomistic.pdb   12582.9414 ( 0.0033)   17204.7207       98816
CCS 75    output_atomistic/model.77_atomistic.pdb   12651.9805 ( 0.0033)   17303.9727       94208
CCS 76    output_atomistic/model.78_atomistic.pdb   12537.8291 ( 0.0033)   17139.8809       75776
CCS 77    output_atomistic/model.79_atomistic.pdb   12663.5830 ( 0.0033)   17320.6543      102400
CCS 78    output_atomistic/model.7_atomistic.pdb   12610.8906 ( 0.0033)   17244.8984      111104
CCS 79    output_atomistic/model.80_atomistic.pdb   12685.0410 ( 0.0033)   17351.5117      102400
CCS 80    output_atomistic/model.81_atomistic.pdb   12593.9922 ( 0.0033)   17220.6055       80896
CCS 81    output_atomistic/model.82_atomistic.pdb   12610.8945 ( 0.0033)   17244.9043      115200
CCS 82    output_atomistic/model.83_atomistic.pdb   12629.5723 ( 0.0033)   17271.7559       93696
CCS 83    output_atomistic/model.84_atomistic.pdb   12524.9951 ( 0.0033)   17121.4375       67584
CCS 84    output_atomistic/model.85_atomistic.pdb   12704.5332 ( 0.0033)   17379.5430      113152
CCS 85    output_atomistic/model.86_atomistic.pdb   12655.1055 ( 0.0033)   17308.4648      128512
CCS 86    output_atomistic/model.87_atomistic.pdb   12638.3027 ( 0.0033)   17284.3086       66048
CCS 87    output_atomistic/model.88_atomistic.pdb   12646.1904 ( 0.0033)   17295.6484      103936
CCS 88    output_atomistic/model.89_atomistic.pdb   12677.8906 ( 0.0033)   17341.2285       95232
CCS 89    output_atomistic/model.8_atomistic.pdb   12683.0898 ( 0.0033)   17348.7051       80384
CCS 90    output_atomistic/model.90_atomistic.pdb   12764.5117 ( 0.0033)   17465.8105       71680
CCS 91    output_atomistic/model.91_atomistic.pdb   12641.6719 ( 0.0033)   17289.1504      134656
CCS 92    output_atomistic/model.92_atomistic.pdb   12720.1729 ( 0.0033)   17402.0352       83968
CCS 93    output_atomistic/model.93_atomistic.pdb   12649.1035 ( 0.0033)   17299.8359       71680
CCS 94    output_atomistic/model.94_atomistic.pdb   12672.3936 ( 0.0033)   17333.3242       92672
CCS 95    output_atomistic/model.95_atomistic.pdb   12629.6553 ( 0.0033)   17271.8750      147456
CCS 96    output_atomistic/model.96_atomistic.pdb   12666.5938 ( 0.0033)   17324.9844       91136
CCS 97    output_atomistic/model.97_atomistic.pdb   12596.7900 ( 0.0033)   17224.6270       79360
CCS 98    output_atomistic/model.98_atomistic.pdb   12689.4971 ( 0.0033)   17357.9199      102400
CCS 99    output_atomistic/model.99_atomistic.pdb   12672.5752 ( 0.0033)   17333.5859       90624
CCS 100   output_atomistic/model.9_atomistic.pdb   12705.7734 ( 0.0033)   17381.3262      104960
